Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,TelephoneNumber,TelephoneCountryCode,MothersMaiden,Birthday,Age,NationalID,Occupation,Company,BloodType,Pounds,Kilograms,FeetInches,Centimeters
1505,female,American,Mrs.,Carrie,R,Thomas,"2899 Roosevelt Road",Wichita,KS,Kansas,67202,US,"United States",620-269-8819,1,Jenkins,12/12/1984,34,515-66-3718,"Analytical chemist",HomeBase,B+,123.6,56.2,"5' 6""",168
1506,female,American,Mrs.,Sheri,G,Minton,"499 Spring Haven Trail","Lake Mohawk",NJ,"New Jersey",07871,US,"United States",973-726-6923,1,Ng,4/2/1943,76,155-03-4210,"Health educator","Omni Tech Solutions",O+,174.0,79.1,"5' 5""",166
1507,female,American,Mrs.,Alice,D,Gay,"1572 Hurry Street","Mountain Grove",VA,Virginia,24484,US,"United States",540-279-7294,1,Harris,8/19/1984,35,227-59-3327,"Office administrative assistant","County Seat",O+,205.5,93.4,"5' 6""",168
1508,female,American,Ms.,Marian,B,Diaz,"2458 Horseshoe Lane",Portland,PA,Pennsylvania,97205,US,"United States",484-418-2198,1,Deaton,9/3/1960,58,176-38-7335,"Emergency management specialist","Century House",A+,171.2,77.8,"5' 8""",172
1509,female,American,Ms.,Winnie,M,Weldy,"4582 Harter Street",Dayton,OH,Ohio,45402,US,"United States",937-586-3422,1,Fishman,11/25/1960,58,275-44-8578,"Rural mail carrier","Steak and Ale",O+,162.6,73.9,"5' 6""",168
1510,female,American,Mrs.,Annie,J,Russell,"1251 Grant Street",Price,TX,Texas,12345,US,"United States",903-861-1051,1,Kaylor,7/17/1978,41,627-32-1431,"Museum technician",Ejecta,A+,121.7,55.3,"5' 5""",165
1511,female,American,Ms.,Colleen,D,Brodeur,"818 Berkshire Circle",Knoxville,TN,Tennessee,37919,US,"United States",865-873-0940,1,Abernethy,6/14/1959,60,756-01-3482,"Sports trainer","Cut Rite",A+,202.6,92.1,"5' 2""",158
1512,female,American,Ms.,Marilyn,K,Boe,"821 Conference Center Way",Bloomsburg,PA,Pennsylvania,17815,US,"United States",570-898-8402,1,Morford,4/7/1964,55,208-46-9670,"Machinery maintenance mechanic","The Original House of Pies",B+,177.8,80.8,"5' 8""",172
1513,female,American,Ms.,Jana,J,Aaron,"4682 Abner Road","Eau Claire",WI,Wisconsin,54701,US,"United States",715-413-0955,1,Anderson,2/4/1988,31,393-24-0355,"Risk manager",Ardan's,A+,226.6,103.0,"5' 6""",168
1514,female,American,Ms.,Marian,F,Hill,"2285 Murphy Court",Irvine,CA,California,92614,US,"United States",951-907-3789,1,Lopez,7/28/1938,81,560-25-4353,"Real estate rental agent",Romp,O+,148.9,67.7,"5' 5""",165
1515,female,American,Ms.,Shirley,D,Clark,"557 Arthur Avenue",Freeport,IL,Illinois,61032,US,"United States",815-833-5597,1,Johnson,8/14/1996,23,323-96-8539,"Cementing and gluing machine operator","Environ Architectural Design",A-,189.2,86.0,"5' 1""",155
1516,female,American,Ms.,Clarissa,K,Jenkins,"3661 Gnatty Creek Road",Farmingdale,NY,"New York",11735,US,"United States",516-293-7027,1,Stafford,6/14/1967,52,071-76-8735,"U.S. Secret Service agent","Integra Wealth",A+,113.5,51.6,"5' 3""",161
1517,female,American,Ms.,Denise,E,Lopez,"198 Crestview Manor",Carmel,IN,Indiana,46032,US,"United States",317-314-3811,1,Hines,12/11/1948,70,316-44-4778,Specialist,"Red Robin Stores",O+,154.9,70.4,"5' 6""",168
1518,female,American,Ms.,Jennifer,S,Isakson,"3621 Front Street","Bloomfield Township",MI,Michigan,48302,US,"United States",810-338-9122,1,Hoskins,1/2/1951,68,373-86-5301,"Immunohematology technologist","Solid Future",B+,200.0,90.9,"5' 3""",161
1519,female,American,Ms.,Charlotte,K,Estrada,"116 Kelley Road",Biloxi,MS,Mississippi,39531,US,"United States",228-493-0640,1,Gile,12/11/1947,71,425-69-1672,"Composing machine tender",Afforda,O+,132.9,60.4,"5' 0""",152
1520,female,American,Mrs.,Donna,J,Fry,"2054 Buena Vista Avenue",Springfield,OR,Oregon,97477,US,"United States",541-741-0367,1,Grubbs,2/20/1948,71,541-19-3432,"Religious activities and education director",Netobill,A+,182.6,83.0,"5' 5""",165
1521,female,American,Mrs.,Patricia,R,Ly,"1196 Wolf Pen Road","San Jose",CA,California,95131,US,"United States",650-417-3455,1,Elias,12/4/1992,26,560-86-8824,"Medical doctor","Crown Books",A+,179.1,81.4,"5' 5""",164
1522,female,American,Mrs.,Briana,S,Barrera,"1923 Doe Meadow Drive",Suitland,MD,Maryland,20746,US,"United States",301-568-1492,1,Whitfield,11/18/1970,48,212-84-8667,"Community health educator",Titania,O+,199.1,90.5,"5' 1""",156
1523,female,American,Ms.,Minnie,N,Morton,"3859 Paradise Lane","Baldwin Park",CA,California,91706,US,"United States",909-669-4877,1,Stefanski,3/4/1957,62,622-08-1839,"Fire dispatcher","Webcom Business Services",O+,149.8,68.1,"5' 1""",155
1524,female,American,Ms.,Helen,C,Rabinowitz,"1797 Hill Croft Farm Road",Chico,CA,California,95928,US,"United States",530-516-2365,1,McCaffery,12/15/1991,27,624-66-5162,Courier,"Super Saver Foods",O+,160.6,73.0,"5' 4""",163
1525,female,American,Dr.,Sarah,J,Poole,"3502 Euclid Avenue","Los Angeles",CA,California,90017,US,"United States",805-323-6802,1,Doyal,3/12/1957,62,614-82-8461,"Office aide","Maurice The Pants Man",B+,211.0,95.9,"5' 6""",168
1526,female,American,Mrs.,Jean,C,Maddox,"1063 Reel Avenue",Grady,NM,"New Mexico",88120,US,"United States",505-357-1109,1,Davis,10/1/1940,78,648-09-4428,"Administrative lead","Wealth Zone Group",B+,209.2,95.1,"5' 5""",166
1527,female,American,Ms.,Robin,M,Williams,"3008 Echo Lane","Benton Harbor",MI,Michigan,49022,US,"United States",269-927-9552,1,Miller,5/16/1974,45,383-88-5346,"Information officer","Roadhouse Grill",B+,137.9,62.7,"5' 8""",172
1528,female,American,Mrs.,Darlene,T,Mier,"1504 Prudence Street",Westland,MI,Michigan,48185,US,"United States",313-293-3175,1,Parenteau,6/30/1979,40,384-50-1535,"Budget manager",Sagebrush,O+,157.5,71.6,"5' 6""",167
1529,female,American,Ms.,Penny,C,Furst,"159 Walnut Hill Drive",Cincinnati,OH,Ohio,45241,US,"United States",513-249-7419,1,Stanford,2/6/1956,63,293-26-1969,"Tool sharpener","Chief Auto Parts",B+,133.3,60.6,"5' 3""",160
1530,female,American,Ms.,Niki,E,Madrid,"3168 Stiles Street",Pittsburgh,PA,Pennsylvania,15201,US,"United States",412-534-0446,1,Carolina,2/11/1936,83,205-68-0319,"Forging machine tender",Konsili,B+,167.0,75.9,"5' 6""",168
1531,female,American,Ms.,Francine,D,O'Connor,"3725 Conifer Drive",Bellevue,WA,Washington,98004,US,"United States",425-468-0866,1,Edwards,12/12/1947,71,534-84-4763,"Bonus clerk","Pleasures and Pasttimes",A+,180.2,81.9,"5' 2""",157
1532,female,American,Mrs.,Patricia,A,Rice,"4745 Tecumsah Lane",Burlington,IA,Iowa,52601,US,"United States",319-237-2770,1,Knight,6/29/1990,29,485-68-1268,"Front desk receptionist","Platinum Interior Design",O+,138.8,63.1,"5' 9""",174
1533,female,American,Mrs.,Melinda,M,McKenzie,"3099 Patton Lane",Charlotte,NC,"North Carolina",28202,US,"United States",919-203-1693,1,Ledet,1/3/2000,19,684-05-6083,"Contract administrator","Oklahoma Tire & Supply Company",B+,140.4,63.8,"5' 3""",159
1534,female,American,Ms.,Diane,C,Rowan,"4224 Round Table Drive",Fairfield,OH,Ohio,45014,US,"United States",513-829-0422,1,Camp,1/21/1958,61,285-16-6115,"Image consultant","Licorice Pizza",O+,154.0,70.0,"5' 8""",172
1535,female,American,Mrs.,Eva,C,Fox,"4164 Browning Lane",Madison,WI,Wisconsin,53718,US,"United States",608-214-5068,1,Smith,3/2/1987,32,393-78-7269,"Packaging and filling machine tender","Audio Visions",A+,160.4,72.9,"5' 9""",175
1536,female,American,Ms.,Leah,W,Smith,"3414 Lilac Lane",Vidalia,GA,Georgia,30474,US,"United States",912-500-2024,1,Biggs,5/24/1939,80,675-18-3430,Announcer,"Mission G",O+,139.3,63.3,"5' 5""",164
1537,female,American,Mrs.,Carol,R,Jones,"4003 Victoria Street",Greensburg,LA,Louisiana,70441,US,"United States",225-222-7687,1,Thompson,6/15/1960,59,659-10-6383,Sheriff,Morville,O+,205.5,93.4,"5' 5""",164
1538,female,American,Ms.,Sadye,R,Nichols,"1955 Bassell Avenue","Hot Springs",AR,Arkansas,71901,US,"United States",501-760-4805,1,Bell,4/28/1968,51,431-45-5138,"Placement director","Afforda Merchant Services",A+,212.1,96.4,"5' 0""",153
1539,female,American,Ms.,Linda,D,Obrien,"1753 Center Avenue",Fresno,CA,California,93710,US,"United States",559-433-4253,1,Bittinger,7/8/1991,28,562-66-0423,"Corporate accountant","Federated Group",A-,163.7,74.4,"5' 3""",160
1540,female,American,Mrs.,Catherine,L,Bean,"707 Kidd Avenue",Atka,AK,Alaska,99502,US,"United States",907-839-6109,1,Fitzgibbon,9/6/1979,39,574-29-7900,Manager,Janeville,O+,135.1,61.4,"5' 3""",160
1541,female,American,Ms.,Rosemary,G,Vasquez,"2253 Millbrook Road","West Chicago",IL,Illinois,60185,US,"United States",630-779-3985,1,Godfrey,3/1/1975,44,321-66-1207,"Transportation, storage, and distribution manager",Perisolution,A-,205.5,93.4,"5' 4""",162
1542,female,American,Mrs.,Bertha,A,Patterson,"1878 Burnside Court",Tempe,AZ,Arizona,85282,US,"United States",602-405-1712,1,Foote,12/5/1945,73,526-30-1260,Concierge,"Al's Auto Parts",B+,163.9,74.5,"5' 3""",159
1543,male,American,Mr.,Earl,K,Steward,"3205 Heron Way",Portland,OR,Oregon,97232,US,"United States",503-851-0578,1,Collins,3/16/1936,83,542-13-6761,Courier,"Childs Restaurants",B+,143.7,65.3,"5' 7""",169
1544,female,American,Ms.,Rebecca,L,Villa,"2185 Feathers Hooves Drive",Selden,NY,"New York",11784,US,"United States",631-696-2153,1,Henry,9/26/1987,31,089-28-0959,"Employment service specialist","Farmer Jack",B+,153.6,69.8,"5' 5""",164
1545,female,American,Dr.,Frances,R,Laporte,"2033 Winding Way",Pawtucket,RI,"Rhode Island",02860,US,"United States",401-727-9947,1,Pica,6/14/1980,39,038-26-6121,Geophysicist,"Albers Super Markets",O+,164.6,74.8,"5' 7""",171
1546,female,American,Ms.,Gladys,M,Quinn,"2037 Longview Avenue",Jamaica,NY,"New York",11432,US,"United States",718-558-1246,1,Blackwell,1/9/1953,66,101-24-7334,"Education and development manager",Dahlkemper's,O+,145.0,65.9,"5' 7""",171
1547,female,American,Mrs.,Leighann,G,Cantu,"1386 Ritter Street",Athens,AL,Alabama,35611,US,"United States",256-232-0498,1,Ballance,11/24/1953,65,423-28-3659,"Electromechanical equipment assembler","Infinity Investment Plan",O+,146.7,66.7,"5' 5""",165
1548,female,American,Mrs.,Beverly,B,Gaskill,"4276 Kennedy Court","West Roxbury",MA,Massachusetts,02132,US,"United States",774-274-4171,1,Ramirez,12/23/1948,70,022-80-5524,"Photographic equipment repairer","Megatronic Plus",O+,223.1,101.4,"4' 11""",151
1549,female,American,Ms.,Dominga,E,Williams,"4613 Holden Street","San Diego",CA,California,92107,US,"United States",619-223-6835,1,Weaver,8/20/1957,61,603-86-1722,"Software engineer",Silo,B+,222.9,101.3,"5' 3""",161
1550,female,American,Ms.,Therese,M,Tolle,"586 Bastin Drive",Newark,PA,Pennsylvania,19714,US,"United States",484-726-0094,1,Callahan,8/27/1998,20,164-70-5495,"Personnel recruiter","Big Apple",A+,193.6,88.0,"5' 2""",157
1551,female,American,Mrs.,Pandora,C,Johnson,"17 Pick Street","Fort Morgan",CO,Colorado,80701,US,"United States",970-542-4337,1,Woodard,8/9/1982,37,523-62-6977,"Glass repairer","H. J. Wilson & Company",O+,141.5,64.3,"5' 5""",166
1552,female,American,Ms.,Teresa,J,Ferguson,"1329 Glendale Avenue",Northridge,CA,California,91324,US,"United States",818-734-5958,1,Carter,1/5/1982,37,623-39-8677,Endodontist,"Knockout Kickboxing",B+,110.7,50.3,"5' 9""",175
1553,female,American,Mrs.,Carline,T,Wiley,"4815 Rhapsody Street",Inverness,FL,Florida,32650,US,"United States",352-344-4889,1,Wray,4/21/1958,61,591-08-0514,"Home health aide","Buehler Foods",A+,152.5,69.3,"5' 0""",153
1554,female,American,Ms.,Norene,T,Helton,"4780 Tyler Avenue",Miami,FL,Florida,33131,US,"United States",305-351-1730,1,Morris,12/9/1993,25,589-27-6018,"Conference interpreter",AdventureSports!,O+,128.3,58.3,"5' 4""",162
1555,female,American,Ms.,Barbara,C,Baker,"3557 Mulberry Street",Houston,TX,Texas,77036,US,"United States",936-649-1034,1,Turner,2/23/1971,48,638-28-9789,"Electronic equipment installer","L' Fish",O+,166.1,75.5,"5' 2""",157
1556,female,American,Ms.,Jeane,W,Evans,"475 Saint James Drive",Harrisburg,PA,Pennsylvania,17109,US,"United States",717-526-6077,1,Howard,3/30/1980,39,210-07-4017,"Letterpress setter",Opti-Tek,O+,125.2,56.9,"5' 7""",171
1557,female,American,Mrs.,Vilma,H,Roberts,"4225 Del Dew Drive",Washington,MD,Maryland,20024,US,"United States",301-828-6601,1,Lopez,5/27/1992,27,212-36-7565,Promoter,Greyvoid,A+,187.2,85.1,"5' 8""",172
1558,female,American,Mrs.,Mary,A,Solomon,"97 Forest Avenue","New York",NY,"New York",10013,US,"United States",646-932-6961,1,Daniel,7/1/1950,69,121-90-2026,"Respiratory nurse","Omni Superstore",A-,216.0,98.2,"5' 0""",152
1559,female,American,Ms.,Susanna,C,Parker,"3732 American Drive","Maple Shade",NJ,"New Jersey",08052,US,"United States",856-261-3603,1,Brown,5/25/1934,85,151-10-9235,"Electronic technician","House Works",A+,131.3,59.7,"5' 6""",167
1560,female,American,Mrs.,Elizabeth,J,Buchan,"1400 Millbrook Road",Chicago,IL,Illinois,60606,US,"United States",630-748-6554,1,Robinson,9/4/1948,70,345-88-2349,"Pediatric dentist","Sam Goody",A+,116.4,52.9,"5' 3""",161
1561,female,American,Mrs.,Margaret,J,Stephens,"4037 Davis Lane",Aurora,CO,Colorado,80012,US,"United States",720-305-6043,1,Posey,9/27/1970,48,650-16-2102,"Transmission technician","Garden Master",O+,189.2,86.0,"5' 6""",168
1562,female,American,Ms.,Heather,J,Powell,"2642 Wilkinson Street",Nashville,TN,Tennessee,37211,US,"United States",615-429-5533,1,Enriquez,10/20/1946,72,758-01-1273,"School teacher","Lone Wolf Wealth Planning",A-,169.4,77.0,"5' 1""",155
1563,female,American,Mrs.,Laura,H,Bower,"3527 Tibbs Avenue",Sheridan,MT,Montana,59749,US,"United States",406-842-0054,1,Arzola,1/11/1971,48,517-35-8089,"Electromechanical engineering technician","Landskip Yard Care",O+,201.3,91.5,"5' 7""",170
1564,female,American,Ms.,Jan,D,Tovar,"597 Memory Lane",Chenoa,IL,Illinois,61726,US,"United States",815-945-0031,1,Razo,7/28/1975,44,359-54-8614,"Floor layer","Suadela Investment",A+,203.1,92.3,"5' 6""",167
1565,female,American,Mrs.,Margaret,M,Martin,"3687 Reynolds Alley","La Habra",CA,California,90631,US,"United States",562-266-7953,1,Woll,2/27/1944,75,623-04-9415,"Tower controller",HouseWorks!,A-,187.4,85.2,"5' 7""",171
1566,female,American,Mrs.,Ethel,P,Trevino,"4634 Crestview Terrace",Lacoste,TX,Texas,78039,US,"United States",830-762-5707,1,Fowler,8/21/1973,45,628-38-6750,"Textile, apparel, and furnishings occupation",Thalhimers,B+,182.4,82.9,"5' 6""",167
1567,female,American,Mrs.,Edith,F,Jones,"2568 Pine Street",Monongahela,PA,Pennsylvania,15063,US,"United States",724-292-4399,1,Klein,9/18/1995,23,193-38-9207,"Field technician",Musicland,B+,207.7,94.4,"5' 5""",165
1568,female,American,Ms.,Regina,P,Frye,"617 Perine Street",Herndon,VA,Virginia,22070,US,"United States",703-778-9950,1,Palmer,9/30/1964,54,696-03-8350,"Medical record coder","Garden Master",A+,174.2,79.2,"5' 1""",156
1569,female,American,Ms.,Linda,T,Padilla,"2707 Lamberts Branch Road",Miami,FL,Florida,33131,US,"United States",786-524-8379,1,Seifert,11/6/1965,53,592-53-9277,"Government accountant","J. K. Gill Company",B+,116.8,53.1,"5' 1""",155
1570,female,American,Ms.,Katherine,A,Sandstrom,"2768 Granville Lane","Jersey City",NJ,"New Jersey",07307,US,"United States",973-524-4605,1,Marrero,3/1/1977,42,158-76-1644,"Medical secretary","The Happy Bear",O+,230.1,104.6,"5' 5""",165
1571,female,American,Ms.,Denise,J,Adams,"3937 Stone Lane",Wayne,PA,Pennsylvania,19088,US,"United States",610-401-1331,1,Garcia,6/1/1996,23,193-07-5692,"Fish hatchery manager",Lum's,O-,199.5,90.7,"5' 2""",158
1572,female,American,Dr.,Gail,B,Costales,"3639 Chandler Drive",Sparta,MO,Missouri,65753,US,"United States",417-634-5310,1,Decoteau,5/16/1960,59,500-06-9385,"Travel counselor","Champion Auto",A+,185.2,84.2,"5' 4""",163
1573,female,American,Mrs.,Doris,N,Hoerr,"3942 Hamill Avenue","La Mesa",CA,California,91941,US,"United States",858-375-7406,1,Laplante,7/6/1982,37,602-98-6086,Sheriff,FamilyMart,AB+,137.5,62.5,"5' 1""",156
1574,female,American,Mrs.,Jill,R,Freeman,"4533 Barnes Avenue",Cincinnati,OH,Ohio,45236,US,"United States",513-687-7732,1,Martinez,10/7/1979,39,285-62-3863,Biochemist,"Sounds Great, Inc",B+,220.4,100.2,"5' 7""",171
1575,female,American,Ms.,Lydia,C,Guevara,"1431 Pinnickinnick Street",Whiting,NJ,"New Jersey",08759,US,"United States",732-849-4637,1,King,5/14/1981,38,154-42-6341,Upholsterer,"Budget Power",A+,204.4,92.9,"5' 4""",162
1576,female,American,Mrs.,Margaret,D,Zamudio,"4107 Wakefield Street",Philadelphia,PA,Pennsylvania,19125,US,"United States",215-426-3905,1,Williams,2/12/1941,78,201-76-5974,"Payroll representative","Integra Wealth",AB+,214.9,97.7,"4' 11""",150
1577,female,American,Dr.,Rosa,J,Bailey,"1342 Wyatt Street","West Palm Beach",FL,Florida,33417,US,"United States",561-550-0633,1,Walsh,10/8/1991,27,266-06-8895,"Immunology technologist",Newhair,O+,112.2,51.0,"5' 1""",155
1578,female,American,Mrs.,Beatrice,M,Taylor,"1877 Tori Lane","West Valley City",UT,Utah,84120,US,"United States",801-648-4722,1,Miller,6/30/1934,85,529-71-3644,"Trial lawyer",Stratabiz,O+,163.7,74.4,"5' 6""",168
1579,female,American,Mrs.,Janice,C,Maddy,"1091 Cooks Mine Road","Pleasant Hill",NM,"New Mexico",88101,US,"United States",505-755-8498,1,Ramos,9/18/1948,70,585-76-3691,Shaper,"Rite Solution",A+,142.3,64.7,"5' 4""",163
1580,female,American,Mrs.,Andrea,J,Bruce,"2354 Confederate Drive",Cicero,NY,"New York",13039,US,"United States",315-699-4960,1,Bastian,10/12/1972,46,077-76-7951,"Cutting, punching, and press machine operator","One-Up Realty",O+,181.7,82.6,"5' 3""",161
1581,female,American,Ms.,Myrtle,J,Craig,"189 Doctors Drive","El Segundo",CA,California,90245,US,"United States",310-414-9969,1,Herron,6/9/1966,53,616-05-4839,"Locomotive engineer","Bresler's Ice Cream",O+,213.0,96.8,"5' 0""",153
1582,female,American,Mrs.,Margaret,C,Haney,"4101 Tenmile",Norfolk,VA,Virginia,23513,US,"United States",757-889-9097,1,Gillmore,11/2/1936,82,225-14-2454,"Geodetic surveyor",Angel's,O+,156.9,71.3,"5' 3""",159
1583,female,American,Ms.,Silvia,J,McKnight,"1091 Heavens Way","El Toro",CA,California,92630,US,"United States",949-243-9196,1,Jacobson,6/9/1988,31,623-01-6945,"Office machine and cash register technician","Camelot Music",B+,191.4,87.0,"5' 2""",157
1584,female,American,Mrs.,Regina,M,Dubay,"3210 Glen Falls Road",Philadelphia,PA,Pennsylvania,19144,US,"United States",215-844-5481,1,Mayhugh,9/9/1964,54,199-80-3895,"Oral pathologist","The Original House of Pies",O+,144.3,65.6,"5' 5""",166
1585,female,American,Mrs.,Carla,G,Gonzales,"171 Jefferson Street",Norfolk,VA,Virginia,23510,US,"United States",757-666-3839,1,Bond,2/15/1956,63,231-76-3200,"Letterpress setter","Record World",A+,123.2,56.0,"5' 7""",170
1586,female,American,Mrs.,Brittany,M,Cooley,"750 Star Route","Hickory Hills",IL,Illinois,60457,US,"United States",708-567-8098,1,Bryant,7/20/2000,19,335-02-3814,"Marketing coordinator","Audio Aid",A+,186.3,84.7,"5' 0""",152
1587,female,American,Mrs.,Kathy,R,Stoker,"813 West Fork Street",Helena,MT,Montana,59601,US,"United States",406-399-4754,1,Thurber,7/2/1965,54,516-72-5948,"Ground controller","Turtle's Records & Tapes",B+,188.8,85.8,"5' 1""",156
1588,female,American,Ms.,Melissa,J,McCoy,"409 Cottonwood Lane","Grand Rapids",MI,Michigan,49503,US,"United States",616-334-1707,1,Brown,3/17/1958,61,383-02-5487,"Graphic artist","Sounds of Soul Records & Tapes",O+,204.2,92.8,"5' 1""",156
1589,female,American,Mrs.,Lisa,J,Wilhoit,"3882 Hamill Avenue","San Diego",CA,California,92103,US,"United States",858-255-0254,1,Kapp,2/21/1946,73,556-91-9255,"Production, planning, and expediting clerk","University Stereo",B+,139.5,63.4,"5' 5""",165
1590,female,American,Mrs.,Carol,D,Irwin,"4783 Sycamore Lake Road","Green Bay",WI,Wisconsin,54301,US,"United States",920-445-1077,1,Grissom,12/27/1934,84,389-98-3941,Obstetrician,"Sofa Express",O+,149.4,67.9,"5' 3""",160
1591,female,American,Mrs.,Samantha,W,Williams,"4317 Columbia Road",Philadelphia,DE,Delaware,19146,US,"United States",302-864-4134,1,Stevenson,9/18/1978,40,222-74-3803,"Travel adviser","Franklin Simon",A+,228.1,103.7,"5' 1""",155
1592,female,American,Mrs.,Michelle,J,Wingler,"1546 Fannie Street",Cambridge,MA,Massachusetts,02142,US,"United States",978-993-2893,1,Johnson,2/1/1947,72,018-62-2413,"Lens grinder",Sportmart,A+,189.6,86.2,"5' 4""",163
1593,female,American,Ms.,Julia,R,Williams,"956 Daffodil Lane",Washington,VA,Virginia,20011,US,"United States",703-459-4904,1,Kim,9/26/1981,37,224-09-7171,"Professional athlete","A+ Investments",A+,124.3,56.5,"5' 1""",154
1594,female,American,Ms.,Lavina,P,Williamson,"1646 Vineyard Drive",Cleveland,OH,Ohio,44115,US,"United States",440-336-4876,1,Mandel,11/17/1973,45,287-76-9469,"Instructional coach",Furrow's,O+,172.3,78.3,"5' 1""",155
1595,female,American,Mrs.,Jane,L,Parks,"2000 Cambridge Drive",Glendale,AZ,Arizona,85301,US,"United States",623-435-1959,1,Rankins,7/20/1990,29,764-10-2330,"Electronic prepress technician","Team Uno",A+,144.8,65.8,"5' 2""",157
1596,female,American,Mrs.,Mary,R,Brown,"1960 Johnson Street",Wendell,NC,"North Carolina",27591,US,"United States",919-822-3761,1,Poole,10/29/1937,81,690-03-6979,"Courtesy van driver","Herman's World of Sporting Goods",O+,181.7,82.6,"5' 4""",162
1597,female,American,Ms.,Kellie,S,Shaw,"1415 Frum Street",Nashville,TN,Tennessee,37203,US,"United States",615-322-8657,1,Morgan,7/1/1952,67,411-24-4884,"Motor coach driver","Wild Oats Markets",B+,214.1,97.3,"5' 4""",163
1598,female,American,Mrs.,Sabrina,F,Grant,"1446 Heavens Way","Port Charlotte",FL,Florida,33954,US,"United States",941-883-9310,1,Fernandez,7/4/1950,69,589-74-5638,"Food technologist",Patterson-Fletcher,A+,154.7,70.3,"5' 5""",164
1599,female,American,Ms.,Natalie,K,Collazo,"505 Beechwood Drive",Pittsburgh,PA,Pennsylvania,15205,US,"United States",412-272-8182,1,Hardaway,5/1/1972,47,205-30-4630,"Telephone service representative","Food Fair",A+,132.2,60.1,"5' 5""",164
1600,female,American,Mrs.,Carol,J,Hoover,"3884 Church Street","New York",NY,"New York",10017,US,"United States",718-487-0460,1,Baumann,11/18/1985,33,119-80-2061,"Maintenance technician","The Lawn Guru",A+,201.7,91.7,"5' 7""",170
1601,female,American,Ms.,Maria,C,Green,"2504 Court Street",Chesterfield,MO,Missouri,63005,US,"United States",636-735-5206,1,Carman,10/27/1952,66,491-56-7702,"General practitioner","Webcom Business Services",O+,151.1,68.7,"5' 3""",160
1602,female,American,Ms.,Michele,J,Whistler,"4614 Hilltop Drive",Borger,TX,Texas,79007,US,"United States",806-274-8069,1,Naugle,1/16/1986,33,450-30-8390,"Recording engineer",Opti-Tek,A+,192.9,87.7,"5' 7""",170
1603,female,American,Mrs.,Sharon,F,Horan,"1312 Fairfax Drive",Riverside,CA,California,92501,US,"United States",909-214-8326,1,Moreno,3/23/1964,55,554-16-9793,"Boat operator","Rossi Auto Parts",A+,121.9,55.4,"5' 8""",173
1604,female,American,Ms.,Luz,M,Francisco,"952 Polk Street",Tucson,AZ,Arizona,85704,US,"United States",520-877-7522,1,Santana,6/10/1977,42,764-58-0410,"Public housing manager",Liberal,O+,158.4,72.0,"5' 1""",156
1605,female,American,Ms.,Pamela,C,Harmon,"835 Marietta Street","Santa Rosa",CA,California,95401,US,"United States",707-555-6960,1,McCree,10/31/1972,46,603-11-4123,"Plant operator","Music Den",A+,148.5,67.5,"5' 2""",157
1606,female,American,Ms.,Sharon,A,Thompson,"3306 Roosevelt Street","San Francisco",CA,California,94103,US,"United States",415-462-7594,1,Foreman,10/2/1951,67,606-98-8295,"Commercial lender","Omni Tech",O+,137.1,62.3,"5' 6""",167
1607,female,American,Ms.,Yolanda,K,Rivera,"2239 Cedarstone Drive",Toledo,OH,Ohio,43612,US,"United States",419-476-0303,1,Browne,12/19/1997,21,294-72-8458,Ecologist,"G.I. Joe's",O+,175.3,79.7,"5' 9""",174
1608,female,American,Ms.,Roxanne,E,Burdine,"3224 Lightning Point Drive",Memphis,TN,Tennessee,38117,US,"United States",901-537-4936,1,Silva,6/14/1999,20,762-01-0768,"Mechanical door repairer",Thalhimers,O-,115.7,52.6,"5' 5""",166
1609,female,American,Mrs.,Hazel,J,Hill,"3010 Franklee Lane",Philadelphia,PA,Pennsylvania,19108,US,"United States",484-552-4984,1,McCorkle,7/28/1944,75,172-28-7394,"Silvering applicator","Del Farm",A+,219.1,99.6,"5' 5""",166
1610,female,American,Ms.,Phyllis,J,Garcia,"4008 Tenmile","El Cajon",CA,California,92020,US,"United States",760-230-4039,1,Hughes,5/27/2000,19,573-38-5536,"Human service worker","Pay'N Takeit",A+,121.0,55.0,"5' 7""",169
1611,female,American,Ms.,Virginia,W,Greene,"2443 Lowland Drive",Sterling,IL,Illinois,61081,US,"United States",815-380-2433,1,Ramirez,1/6/1978,41,326-26-4383,"Construction inspector","Plan Future",O+,116.4,52.9,"5' 9""",174
1612,female,American,Mrs.,Ola,J,Wyant,"3036 Whaley Lane","New Berlin",WI,Wisconsin,53151,US,"United States",262-455-6080,1,Smith,9/13/1949,69,389-32-8557,"Animal control officer","Auto Palace",A+,127.6,58.0,"5' 1""",155
1613,female,American,Mrs.,Willie,P,Mitchell,"2775 Tecumsah Lane",Creston,LA,Louisiana,71020,US,"United States",318-875-8701,1,Klein,10/18/1979,39,664-01-3534,"Escort interpreter","American Wholesale Club",O+,186.6,84.8,"5' 8""",172
1614,female,American,Ms.,Linda,R,Bruce,"935 Short Street",Austin,TX,Texas,78735,US,"United States",512-899-6745,1,Girardi,11/23/1980,38,455-34-2084,"Dividend clerk",Stratapro,O+,175.3,79.7,"5' 6""",168
